radio_id,railroad,location,latitude,longitude,map_url
1856C4,BNSF,"North Glenwood, IA",41.096953,-95.760575,"https://www.google.com/maps/search/?api=1&query=41.096953,-95.760575"
1856D8,BNSF,"Ashland, NE",41.029347,-96.350377,"https://www.google.com/maps/search/?api=1&query=41.029347,-96.350377"
1857C5,BNSF,"Lincoln, NE",40.861978,-96.626145,"https://www.google.com/maps/search/?api=1&query=40.861978,-96.626145"
1857C6,BNSF,"Red Oak, IA",41.004575,-95.234952,"https://www.google.com/maps/search/?api=1&query=41.004575,-95.234952"
18582F,BNSF,"East Glenwood, IA",41.049087,-95.670603,"https://www.google.com/maps/search/?api=1&query=41.049087,-95.670603"
185896,BNSF,"Fremont, NE",41.428033,-96.495990,"https://www.google.com/maps/search/?api=1&query=41.428033,-96.495990"
18589E,BNSF,"Milford, NE",40.726347,-96.977002,"https://www.google.com/maps/search/?api=1&query=40.726347,-96.977002"
1858C0,BNSF,"Fairmont, NE",40.641480,-97.503163,"https://www.google.com/maps/search/?api=1&query=40.641480,-97.503163"
1858D4,BNSF,"Firth, NE",40.560982,-96.573618,"https://www.google.com/maps/search/?api=1&query=40.560982,-96.573618"
185BE4,BNSF,"York, NE",40.828248,-97.554787,"https://www.google.com/maps/search/?api=1&query=40.828248,-97.554787"
480009,UP,"Dow City, IA",41.848990,-95.425300,"https://www.google.com/maps/search/?api=1&query=41.848990,-95.425300"
4800AF,UP,"Gretna, NE",41.175370,-96.257730,"https://www.google.com/maps/search/?api=1&query=41.175370,-96.257730"
4800D5,UP,"Bennington, NE",41.367783,-96.233933,"https://www.google.com/maps/search/?api=1&query=41.367783,-96.233933"
4800D7,UP,"Blair, NE",41.509610,-96.174502,"https://www.google.com/maps/search/?api=1&query=41.509610,-96.174502"
4801FB,UP,"Marysville, KS",39.784330,-96.706040,"https://www.google.com/maps/search/?api=1&query=39.784330,-96.706040"
48035F,UP,"Weeping Water, NE",40.868880,-96.140510,"https://www.google.com/maps/search/?api=1&query=40.868880,-96.140510"
